ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
BNA0005,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,0,52.58950001,13.5586524
BNA0006,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,0,52.58950001,13.5586524
BNA0007,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,0,52.58950001,13.5586524
BNA0008,363,Gas turbine,NaturalGas,37.5,0.354,0.570056497,0,0,52.58950001,13.5586524
BNA0012b,223,Steam turbine,NaturalGas,20,0.3267,0.617692072,0,0,51.98513,9.82246
BNA0015,46,Gas turbine,NaturalGas,65,0.3722,0.542181623,0,0,48.717611,9.374917
BNA0016,46,Gas turbine,NaturalGas,50,0.3046,0.662508207,0,0,48.717611,9.374917
BNA0017,46,Gas turbine,NaturalGas,57,0.3098,0.651387992,0,0,48.717611,9.374917
BNA0018,46,Gas turbine,NaturalGas,81,0.315,0.640634921,0,0,48.717611,9.374917
BNA0019,46,Steam turbine,HardCoal,336,0.44,0.772954545,3.350000229,0,48.717611,9.374917
BNA0020,46,Steam turbine,HardCoal,433,0.455,0.747472527,3.239560661,0,48.717611,9.374917
BNA0025,417,Steam turbine,NaturalGas,15.1,0.3773,0.534852902,0,0,53.85625,13.7101
BNA0033,296,Gas turbine,NaturalGas,28.8,0.3904,0.516905738,0,0,48.40099,10.93576
BNA0051,373,Steam turbine,NaturalGas,18,0.3773,0.534852902,0,0,51.983192,11.87656
BNA0059b,226,Combined cycle,NaturalGas,78,0.5985,0.337176274,0,0,51.25308,9.4379
BNA0067,145,Steam turbine,HardCoal,717,0.3775,0.900927152,2.603090686,0,51.63702,7.6191
BNA0070,364,Gas turbine,NaturalGas,8,0.405999517,0.497044926,0,0,52.433508,13.559704
BNA0071,364,Gas turbine,NaturalGas,5,0.369602531,0.545991932,0,0,52.433508,13.559704
BNA0072,364,Gas turbine,NaturalGas,7,0.385193427,0.523892636,0,0,52.433508,13.559704
BNA0073,369,Combined cycle,NaturalGas,444,0.522,0.386590038,0,0,52.51172353,13.4209156
BNA0074,370,Gas turbine,NaturalGas,211,0.38,0.531052632,0,0,52.52185624,13.31109524
BNA0075,370,Steam turbine,NaturalGas,144,0.3828,0.527168234,0,0,52.42520804,13.30976486
BNA0076,370,Steam turbine,NaturalGas,144,0.3828,0.527168234,0,0,52.42520804,13.30976486
BNA0080,370,Steam turbine,NaturalGas,144,0.3828,0.527168234,0,0,52.42520804,13.30976486
BNA0081,364,Steam turbine,Lignite,164,0.3568,1.018217489,0,0,52.48891639,13.49696159
BNA0082,371,Steam turbine,HardCoal,124,0.3475,0.978705036,1.41390897,0,52.532146,13.246072
BNA0083,370,Steam turbine,Oil(light),276,0.3597,0.739505143,0,0,52.48159366,13.30761909
BNA0084,371,Steam turbine,Waste,36,0.33,0,0,0,52.532146,13.246072
BNA0085a,370,Steam turbine,HardCoal,89,0.4,0.85025,1.228333417,0,52.53735111,13.34611416
BNA0085b,370,Gas turbine,Oil(light),51,0.3046,0.873276428,0,0,52.53735111,13.34611416
BNA0086,371,Steam turbine,HardCoal,282,0.3925,0.866496815,1.251804757,0,52.53508792,13.24264526
BNA0087,371,Steam turbine,HardCoal,282,0.395,0.861012658,1.243881942,0,52.53508792,13.24264526
BNA0088a,373,Combined cycle,NaturalGas,35,0.33,0.611515152,0,0,51.802609,11.751511
BNA0088b,373,Combined cycle,Waste,66,0.513,0,0,0,51.801239,11.75441
BNA0093,244,Steam turbine,HardCoal,721,0.3825,0.889150327,3.853595035,0,49.363481,7.237136
BNA0097,213,Steam turbine,Waste,34,0.33,0,0,0,52.04269,8.60719
BNA0098,214,Steam turbine,NaturalGas,23,0.3608,0.559312639,0,0,52.033503,8.539061
BNA0099,211,Gas turbine,NaturalGas,55,0.315,0.640634921,0,0,51.98396,8.45139
BNA0100,214,Combined cycle,NaturalGas,37.5,0.5625,0.358755556,0,0,52.033503,8.539061
BNA0101,214,Steam turbine,NaturalGas,41,0.3476,0.580552359,0,0,52.033503,8.539061
BNA0105,337,Combined cycle,NaturalGas,106,0.54,0.373703704,0,0,51.633861,12.299357
BNA0110,89,Steam turbine,NaturalGas,20.7,0.3894,0.518233179,0,0,51.48333333,7.216666667
BNA0111,122,Steam turbine,NaturalGas,44,0.4004,0.503996004,0,0,51.50795,7.25029
BNA0115,344,Steam turbine,Lignite,875,0.4,0.90825,0,0,51.182122,12.373287
BNA0116,344,Steam turbine,Lignite,875,0.3976,0.913732394,0,0,51.182122,12.373287
BNA0117a,445,Steam turbine,Waste,12,0.33,0,0,0,50.73382,7.08055
BNA0117b,445,Steam turbine,NaturalGas,95,0.3993,0.505384423,0,0,50.73382,7.08055
BNA0122,354,Steam turbine,Lignite,465,0.3832,0.948068894,0,0,51.41626317,14.56194878
BNA0123,354,Steam turbine,Lignite,465,0.3856,0.94216805,0,0,51.41626317,14.56194878
BNA0124,354,Steam turbine,Lignite,857,0.4,0.90825,0,0,51.41626317,14.56194878
