Node,Biomass,Geothermal,RoR,WindOnshore,WindOffshore,PV
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0.110142677,0,0,4.898497543,0,15.5182337
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0.013067775,0,0,0,0,2.89564202
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
26,0,0,0,0,0,0
27,6.440057289,0,31.99089414,157.3612603,0,82.78549289
28,0,0,0,0,0,0
30,0,0,0,0,0,0
31,9.102422321,0,0,0,0,3.141389445
32,1.259939694,7.8,0.274543084,48.01065142,0,126.8466495
33,0.110613599,0,0.105834868,27.18814602,0,51.18651946
34,0,0,0,0,0,0
35,47.45823914,0,0.419486446,314.5539163,0,314.5638645
36,0,0,0,0,0,0
37,10.65490384,0,1.105451658,85.79940429,0,106.7198861
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,1.980971279,0,5.876284799,0,0,22.13662105
47,3.164435258,0,0.420308057,0,0,23.13580161
48,0,0,0,0,0,0
49,65.9004822,0,112.7670979,44.13293272,0,566.8170823
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,4.166843193,0,0,76.47754253,0,35.25294659
56,66.38843929,0,0.123668743,418.2250188,0,135.7005295
57,126.6779621,0,0.764373784,404.8499907,0,429.5966889
58,9.884381242,0,13.53732078,0,0,79.18023787
59,11.74659662,0,7.949832716,0,0,71.26134668
60,0,0,0,0,0,0
61,25.376686,0,0.701381338,600.9358822,0,229.3360139
62,3.209072221,0,14.33490059,17.9775818,0,57.23890274
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,15.94268573,0,2.173988508,154.5230571,0,96.95350435
66,0,0,0,0,0,0
67,0.624011915,0,5.169049862,14.37739914,0,46.50592922
68,21.60813024,0,1.465978464,134.563117,0,161.9255837
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,2.297128195,0,0.163075356,6.394343892,0,73.26854546
72,16.43263947,0,3.561773973,0,0,60.02170978
73,11.29550773,0,1.464134216,89.01796736,0,102.8895078
74,6.142546603,0,0.156334739,0,0,57.31480855
75,0,0,0,0,0,0
76,5.715783861,0,0.403362663,86.66815392,0,125.5882099
77,9.668310083,0,0.103755136,135.4999409,0,151.7347911
78,0.005425916,0,1.422540489,0.001012722,0,67.7732184
79,0,0,36.8,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,1.696943949,0,0.083897289,5.919505834,0,8.424409697
83,0,0,0,0,0,0
84,8.209363054,0,12.11267114,0,0,12.90079054
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,10.65677066,0,0,27.18075251,0,81.03301936
89,10.89759109,0,1.289920823,0,0,22.99504463
90,0,0,0,0,0,0
91,23.69467665,0,0,4.428982782,0,22.10560659
92,22.02480166,0,0,6.494421868,0,21.45034508
93,0,0,0,0,0,0
94,7.243001079,0,0.050967603,68.50944335,0,111.8067078
95,0,0,0,0,0,0
96,3.220273171,0,0,0,0,5.717031152
97,0,0,0,0,0,0
98,5.133768823,0,0,0,0,6.060228858
99,0,0,0,0,0,11.76138844
100,0,0,0,0,0,0
101,3.558364517,0,0.162760741,76.11249497,0,35.09309728
102,0.217485116,0,0.397463408,20.33499306,0,15.78953142
103,0,0,0,0,0,0
104,0.037336501,0,0,0,0,11.10898402
105,0,0,0,0,0,0
106,0,0,0,0,0,6.155216672
107,0,0,0,0,0,0
108,0.51244347,0,0,0,0,15.19236762
109,0.373178323,0,0.61460008,0,0,19.57920173
110,0,0,0,0,0,0
111,0.373365005,0,0.044046077,4.452405287,0,14.02070769
112,2.680760738,0,0,0,0,11.32893811
113,0,0,0,0,0,4.322875158
114,2.399336865,0,0.057679386,5.759806935,0,22.67517634
115,11.26815586,0,0.036705064,0,0,12.25089658
116,3.266943796,0,0,0,0,6.738473155
117,0,0,0,0,0,5.490575076
118,0.466706257,0,0,4.27460718,0,5.218353004
119,0.8578061,0,1.58295308,0.000894314,0,15.44617616
120,21.37047949,0,0,12.45651407,0,20.74480085
121,5.191640399,0,0,11.71125255,0,40.80806964
122,0,0,0,0,0,0
123,3.428424161,0,0,4.897432884,0,13.46221968
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
